#,DATETIME,T2,U2,RH2,PRES,RRR,N
1,2014-10-01 00:00,0.3,2.08,95.09,687.58,0.1138,1
2,2014-10-01 01:00,-0.2,2.8,93.44,687.48,0.0569,1
3,2014-10-01 02:00,-0.9,3.36,93.1,687.28,0,1
4,2014-10-01 03:00,-1.3,3.36,93.08,687.08,0,1
5,2014-10-01 04:00,-2,2.8,92.12,686.88,0,1
6,2014-10-01 05:00,-2.1,5.44,90.57,686.88,0,1
7,2014-10-01 06:00,-2.1,4.56,90.55,686.88,0,1
8,2014-10-01 07:00,-1.5,4.88,90.57,686.88,0,0.73
9,2014-10-01 08:00,-1.5,4.16,90.57,687.08,0,0.81
10,2014-10-01 09:00,-0.7,1.28,89.66,687.48,0,0.79
11,2014-10-01 10:00,-0.5,4.16,89.96,687.58,0,0.92
12,2014-10-01 11:00,-0.1,3.36,89.64,687.68,0,0.97
13,2014-10-01 12:00,-0.7,5.44,85.66,687.38,0,0.97
14,2014-10-01 13:00,-0.2,4.16,85.95,687.28,0,0.97
15,2014-10-01 14:00,-0.1,1.28,86.51,687.38,0,0.96
16,2014-10-01 15:00,-0.2,0.5,86.17,687.18,0,0.88
17,2014-10-01 16:00,0,4.64,89.09,687.18,0,0.85
18,2014-10-01 17:00,-0.5,8.08,88.49,687.18,0,0.38
19,2014-10-01 18:00,-0.9,7.44,92.11,687.38,0,0
20,2014-10-01 19:00,-1.4,7.12,90.54,687.58,0,0
21,2014-10-01 20:00,-1.6,8.8,88.43,687.68,0,0.86
22,2014-10-01 21:00,-1.6,8.32,83.97,687.58,0,1
23,2014-10-01 22:00,-1.5,7.84,77.09,687.68,0,1
24,2014-10-01 23:00,-1.6,8.16,80.52,687.48,0,1
25,2014-10-02 00:00,-1.8,7.12,66.74,687.58,0,1
26,2014-10-02 01:00,-1.7,7.28,58.6,687.38,0,1
27,2014-10-02 02:00,-1.4,6.72,46.81,687.38,0.0569,1
28,2014-10-02 03:00,-1.1,6.48,31.68,687.28,0,0.89
29,2014-10-02 04:00,-0.8,7.36,23.54,687.18,0,0
30,2014-10-02 05:00,-1.1,6.24,24.94,687.08,0,0
31,2014-10-02 06:00,-1.1,6.16,19.37,687.28,0,1
32,2014-10-02 07:00,-1,4.96,15.9,687.58,0,0.41
33,2014-10-02 08:00,-0.9,4.48,15.82,687.68,0,0.11
34,2014-10-02 09:00,0.8,2.08,21.31,687.88,0,0
35,2014-10-02 10:00,1.6,2.16,24.66,687.98,0,0
36,2014-10-02 11:00,1.6,1.68,51.89,687.98,0,0
37,2014-10-02 12:00,1.6,1.84,55.3,687.88,0,0
38,2014-10-02 13:00,0.5,4.48,56.31,687.88,0,0
39,2014-10-02 14:00,0.4,5.92,61.63,687.68,0,0
40,2014-10-02 15:00,0.3,6.88,59.66,687.48,0,0
41,2014-10-02 16:00,0,7.04,71.77,687.58,0,0.94
42,2014-10-02 17:00,-0.5,7.44,84.91,687.58,0,0
43,2014-10-02 18:00,-0.9,8,86.63,687.68,0,0
44,2014-10-02 19:00,-0.8,5.52,87.44,687.98,0,0
45,2014-10-02 20:00,-1.1,5.28,84.62,687.98,0,0
46,2014-10-02 21:00,-0.9,6.24,92.46,687.78,0,0
47,2014-10-02 22:00,-0.9,5.44,92.46,687.68,0,0.3
48,2014-10-02 23:00,-0.8,7.36,90.89,687.38,0,0.61
49,2014-10-03 00:00,-1,7.2,86,687.18,0,0.88
50,2014-10-03 01:00,-1.1,6.72,66.46,686.88,0,0.96
51,2014-10-03 02:00,-1.2,6.32,42.59,686.58,0,0.9
52,2014-10-03 03:00,-1.2,6.8,30.26,686.38,0,0
53,2014-10-03 04:00,-1.2,6.4,29.84,686.38,0,0
54,2014-10-03 05:00,-1.3,5.28,30.25,686.28,0,0
55,2014-10-03 06:00,-1.3,5.84,25.7,686.18,0,1
56,2014-10-03 07:00,-1.1,3.68,23.38,686.38,0,0.42
57,2014-10-03 08:00,-0.8,4.16,25.11,686.48,0,0.11
58,2014-10-03 09:00,0.1,2,28.53,686.38,0,0
59,2014-10-03 10:00,0.7,1.6,27.81,686.28,0,0
60,2014-10-03 11:00,0.8,1.6,33.82,686.18,0,0
61,2014-10-03 12:00,0.6,1.28,54.69,685.98,0,0.25
62,2014-10-03 13:00,0.5,1.76,44.44,685.68,0,0.11
63,2014-10-03 14:00,-0.4,1.68,45.72,685.48,0,0.18
64,2014-10-03 15:00,-1.3,2.88,56.49,685.28,0,0.29
65,2014-10-03 16:00,-1.5,2.64,67.58,685.08,0,0.92
66,2014-10-03 17:00,-1.9,2,79.04,685.08,0,0
67,2014-10-03 18:00,-2.2,1.84,81.13,684.98,0,0
68,2014-10-03 19:00,-2.5,4,85.47,684.88,0,0
69,2014-10-03 20:00,-2.6,3.92,90.92,684.78,0.0569,0
70,2014-10-03 21:00,-2.5,3.76,92.16,684.58,0,0
71,2014-10-03 22:00,-2.5,3.36,89.4,684.28,0,0
72,2014-10-03 23:00,-2.4,4.24,88.52,683.98,0,0.25
73,2014-10-04 00:00,-2.2,5.28,87.93,683.68,0,0.88
74,2014-10-04 01:00,-2.4,5.76,87.62,683.18,0,1
75,2014-10-04 02:00,-2.8,5.12,89.96,682.88,0,1
76,2014-10-04 03:00,-2.7,6.16,92.11,682.58,0,1
77,2014-10-04 04:00,-2.6,4.24,91.15,682.38,0.0569,1
78,2014-10-04 05:00,-2.5,4.08,86.15,682.18,0.0569,1
79,2014-10-04 06:00,-2.2,2.4,86.79,682.18,0,1
80,2014-10-04 07:00,-1.1,5.2,80.69,682.18,0,0.39
