NORTHING,EASTING,LATITUDE,LONGITUDE,ELEVATION,ASPECT,SLOPE,MASK
1091100,2630100,45.9708,7.8270,2936.81,36.06,19.67,0
1091100,2630300,45.9708,7.8295,2975.76,91.25,13.64,0
1091100,2630500,45.9708,7.8321,2987.95,270.32,16.40,0
1091100,2630700,45.9708,7.8347,2992.86,11.56,8.00,0
1091100,2630900,45.9708,7.8373,3016.97,13.06,10.33,0
1091100,2631100,45.9708,7.8399,3061.28,16.78,12.14,0
1091100,2631300,45.9708,7.8424,3104.51,328.22,18.60,0
1091100,2631500,45.9707,7.8450,3143.29,249.53,11.87,0
1091100,2631700,45.9707,7.8476,3168.06,147.79,12.93,0
1091100,2631900,45.9707,7.8502,3188.14,26.96,11.87,0
1091100,2632100,45.9707,7.8528,3224.00,26.59,9.58,0
1091100,2632300,45.9707,7.8553,3253.07,179.26,10.80,0
1091100,2632500,45.9707,7.8579,3287.16,267.36,16.10,0
1091100,2632700,45.9707,7.8605,3331.76,250.54,17.54,0
1091100,2632900,45.9707,7.8631,3378.80,104.17,32.79,0
1091100,2633100,45.9707,7.8657,3403.60,284.00,19.08,0
1091100,2633300,45.9707,7.8682,3425.01,323.50,5.15,0
1091100,2633500,45.9706,7.8708,3461.19,34.25,24.76,0
1091100,2633700,45.9706,7.8734,3515.81,31.65,13.18,0
1091100,2633900,45.9706,7.8760,3554.72,18.83,13.61,0
1091100,2634100,45.9706,7.8786,3599.65,330.17,8.73,0
1091100,2634300,45.9706,7.8811,3388.25,212.19,49.62,0
1091100,2634500,45.9706,7.8837,3153.89,225.09,69.99,0
1091100,2634700,45.9706,7.8863,2977.91,107.50,43.39,0
1091100,2634900,45.9706,7.8889,2812.96,193.68,50.86,0
1091100,2635100,45.9706,7.8915,2689.62,98.50,39.11,0
1091100,2635300,45.9706,7.8940,2642.42,154.17,28.25,0
1091100,2635500,45.9705,7.8966,2557.47,96.91,50.67,0
1091100,2635700,45.9705,7.8992,2576.14,39.02,41.55,0
1091100,2635900,45.9705,7.9018,2542.73,91.48,48.56,0
1091100,2636100,45.9705,7.9044,0.00,0.00,0.00,0
1091100,2636300,45.9705,7.9069,0.00,0.00,0.00,0
1091100,2636500,45.9705,7.9095,0.00,0.00,0.00,0
1091100,2636700,45.9705,7.9121,0.00,0.00,0.00,0
1091100,2636900,45.9705,7.9147,0.00,0.00,0.00,0
1091300,2630100,45.9726,7.8270,2937.64,50.58,20.41,0
1091300,2630300,45.9726,7.8296,2964.00,104.23,9.54,0
1091300,2630500,45.9726,7.8321,2971.32,148.19,11.27,0
1091300,2630700,45.9726,7.8347,2981.72,312.75,6.38,0
